"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
1;"FIFO";-1;1;6442.88047648579;6442.88047648579;6302;6587;6382.97910445402;6502.78184851756
74;"FIFO";-1;1.09722222222222;6447.60646151466;6447.60646151466;6299;6594;6392.43478850133;6509.53017956758
147;"FIFO";-1;1.19444444444444;6452.21624881537;6452.21624881537;6307;6601;6401.70134018536;6516.22193107755
220;"FIFO";-1;1.29166666666667;6456.70958426474;6456.70958426474;6313;6601;6410.77839440767;6522.85650640322
293;"FIFO";-1;1.38888888888889;6461.08622004158;6461.08622004158;6319;6603;6419.66575558004;6529.43315346255
366;"FIFO";-1;1.48611111111111;6465.34591464958;6465.34591464958;6327;6608;6428.36340899107;6535.95095346469
439;"FIFO";-1;1.58333333333333;6469.48843293945;6469.48843293945;6327;6613;6436.8715305293;6542.40881128051
512;"FIFO";-1;1.68055555555556;6473.5135461306;6473.5135461306;6335;6616;6445.19049430687;6548.80544791164
585;"FIFO";-1;1.77777777777778;6477.42103183216;6477.42103183216;6336;6617;6453.32087774993;6555.13939549104
658;"FIFO";-1;1.875;6481.21067406348;6481.21067406348;6338;6627;6461.26346377124;6561.40899520054
731;"FIFO";-1;1.97222222222222;6484.88226327403;6484.88226327403;6344;6627;6469.01923971343;6567.61239841548
804;"FIFO";-1;2.06944444444444;6488.4355963627;6488.4355963627;6349;6630;6476.58939285063;6573.74757129049
877;"FIFO";-1;2.16666666666667;6491.8704766965;6491.8704766965;6352;6636;6483.97530235089;6579.81230288235
950;"FIFO";-1;2.26388888888889;6495.1867141288;6495.1867141288;6353;6637;6491.17852773125;6585.80421677918
1023;"FIFO";-1;2.36111111111111;6498.38412501667;6498.38412501667;6357;6638;6498.20079396884;6591.72078607202
1096;"FIFO";-1;2.45833333333333;6501.46253223808;6501.46253223808;6360;6646;6505.04397355785;6597.55935137896
1169;"FIFO";-1;2.55555555555556;6504.42176520807;6504.42176520807;6365;6645;6511.71006591487;6603.31714151962
1242;"FIFO";-1;2.65277777777778;6507.26165989456;6507.26165989456;6364;6651;6518.20117462516;6608.99129634728
1315;"FIFO";-1;2.75;6509.98205883351;6509.98205883351;6367;6653;6524.51948308492;6614.57889118315
1388;"FIFO";-1;2.84722222222222;6512.58281114347;6512.58281114347;6371;6656;6530.66722912726;6620.07696226579
1461;"FIFO";-1;2.94444444444444;6515.06377253954;6515.06377253954;6375;6656;6536.64667921968;6625.48253262747
1534;"FIFO";-1;3.04166666666667;6517.42480534668;6517.42480534668;6377;6658;6542.46010279312;6630.79263783719
1607;"FIFO";-1;3.13888888888889;6519.66577851243;6519.66577851243;6378;6661;6548.10974721022;6636.00435110337
1680;"FIFO";-1;3.23611111111111;6521.78656761913;6521.78656761913;6384;6665;6553.59781380847;6641.11480729951
1753;"FIFO";-1;3.33333333333333;6523.78705489529;6523.78705489529;6380;6664;6558.92643537181;6646.12122556058
1826;"FIFO";-1;3.43055555555556;6525.66712922664;6525.66712922664;6384;6669;6564.09765529415;6651.02093018526
1899;"FIFO";-1;3.52777777777778;6527.42668616627;6527.42668616627;6388;6666;6569.11340861166;6655.81136966826
1972;"FIFO";-1;3.625;6529.06562794441;6529.06562794441;6387;6670;6573.97550499763;6660.49013376831
2045;"FIFO";-1;3.72222222222222;6530.58386347742;6530.58386347742;6389;6669;6578.68561374164;6665.05496859034
2118;"FIFO";-1;3.81944444444444;6531.98130837631;6531.98130837631;6392;6673;6583.24525067406;6669.50378972054
2191;"FIFO";-1;3.91666666666667;6533.25788495443;6533.25788495443;6397;6673;6587.65576695034;6673.83469350035
